Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume,VWAP
2020-06-19,TCS,2042.0,2090.0,2032.0,2044.6,5681784,3384227,2050.29
2020-06-22,TCS,2050.0,2052.25,2019.15,2027.95,3196138,1382233,2033.74
2020-06-23,TCS,2027.0,2044.0,2010.0,2035.3,4206122,985706,2027.43
2020-06-24,TCS,2034.0,2064.25,2031.6,2042.2,2560951,907215,2052.03
2020-06-25,TCS,2035.0,2060.0,2009.25,2016.1,3044089,1367041,2033.26
2020-06-26,TCS,2025.0,2132.0,2019.95,2118.85,6300912,1985173,2095.55
2020-06-29,TCS,2108.0,2127.6,2091.3,2101.65,3076344,1159263,2104.79
2020-06-30,TCS,2100.0,2111.9,2075.05,2082.15,3071877,1277270,2091.7
2020-07-01,TCS,2079.7,2113.95,2079.5,2092.05,2503466,829392,2100.06
2020-07-02,TCS,2102.0,2165.0,2098.0,2157.15,3758709,1413974,2143.79
2020-07-03,TCS,2163.65,2205.0,2160.25,2199.65,4185215,1461405,2188.8
